product_id,name,category,sub_category,base_price,currency,active,created_at,updated_at
PROD-A101,Premium Analytics Dashboard,software,analytics,299.99,USD,true,2024-01-01,2024-03-15
PROD-A102,Basic Analytics Package,software,analytics,99.99,USD,true,2024-01-01,2024-03-15
PROD-A103,Enterprise Analytics Suite,software,analytics,999.99,USD,true,2024-01-01,2024-03-15
PROD-B201,Data Pipeline Standard,software,integration,199.99,USD,true,2024-01-01,2024-03-15
PROD-B202,Data Pipeline Pro,software,integration,499.99,USD,true,2024-01-01,2024-03-15
PROD-C301,API Credits - Small,service,api,50.00,USD,true,2024-01-01,2024-03-15
PROD-C302,API Credits - Medium,service,api,100.00,USD,true,2024-01-01,2024-03-15
PROD-C303,API Credits - Large,service,api,200.00,USD,true,2024-01-01,2024-03-15
PROD-D401,Implementation Support - Basic,service,support,1500.00,USD,true,2024-01-01,2024-02-01
PROD-D401,Implementation Support - Basic,service,support,1600.00,USD,true,2024-02-01,2024-03-15
PROD-D402,Implementation Support - Premium,service,support,3000.00,USD,true,2024-01-01,2024-03-15
PROD-E501,Custom Integration Development,service,professional_services,250.00,USD,true,2024-01-01,2024-03-15
PROD-F601,Hardware Sensor - Basic,hardware,sensors,299.99,USD,false,2024-01-01,2024-02-15
PROD-F602,Hardware Sensor - Pro,hardware,sensors,599.99,USD,true,2024-01-01,2024-03-15
